serialno,sample_geog,age,race,sex,AGEP,SEX,RAC1P
2010000019987,1,20 to 35,white,male,20,1,1
2010000027793,1,20 to 35,white,male,25,1,1
2010000032008,1,20 to 35,white,male,22,1,1
2010000032454,1,20 to 35,white,male,30,1,1
2010000041028,1,20 to 35,white,male,29,1,1
2010000041403,1,20 to 35,white,male,21,1,1
2010000051555,1,20 to 35,white,male,24,1,1
2010000056292,1,20 to 35,white,male,21,1,1
2010000068886,1,20 to 35,white,male,34,1,1
2010000069709,1,20 to 35,white,male,22,1,1
2010000079585,1,20 to 35,white,male,35,1,1
2010000096611,1,20 to 35,white,male,34,1,1
2010000102633,1,20 to 35,white,male,32,1,1
2010000105765,1,20 to 35,white,male,29,1,1
2010000107152,1,20 to 35,white,male,31,1,1
2010000111229,1,20 to 35,white,male,22,1,1
2010000115752,1,20 to 35,white,male,28,1,1
2010000115905,1,20 to 35,white,male,25,1,1
2010000115905,1,20 to 35,white,male,25,1,1
2010000120566,1,20 to 35,white,male,26,1,1
2010000132687,1,20 to 35,white,male,29,1,1
2010000132970,1,20 to 35,white,male,27,1,1
2010000170434,1,20 to 35,white,male,32,1,1
2010000187640,1,20 to 35,white,male,34,1,1
2010000187706,1,20 to 35,white,male,33,1,1
2010000217083,1,20 to 35,white,male,35,1,1
2010000228696,1,20 to 35,white,male,21,1,1
2010000241533,1,20 to 35,white,male,33,1,1
2010000246984,1,20 to 35,white,male,31,1,1
2010000258699,1,20 to 35,white,male,32,1,1
2010000261142,1,20 to 35,white,male,35,1,1
2010000262947,1,20 to 35,white,male,27,1,1
2010000265187,1,20 to 35,white,male,34,1,1
2010000277018,1,20 to 35,white,male,27,1,1
2010000291492,1,20 to 35,white,male,22,1,1
2010000295262,1,20 to 35,white,male,20,1,1
2010000312358,1,20 to 35,white,male,21,1,1
2010000314461,1,20 to 35,white,male,34,1,1
2010000314689,1,20 to 35,white,male,27,1,1
2010000316351,1,20 to 35,white,male,33,1,1
2010000321093,1,20 to 35,white,male,27,1,1
2010000323495,1,20 to 35,white,male,24,1,1
2010000341738,1,20 to 35,white,male,24,1,1
2010000343636,1,20 to 35,white,male,21,1,1
2010000348852,1,20 to 35,white,male,27,1,1
2010000361305,1,20 to 35,white,male,34,1,1
2010000365549,1,20 to 35,white,male,29,1,1
2010000397020,1,20 to 35,white,male,23,1,1
2010000398806,1,20 to 35,white,male,35,1,1
2010000407032,1,20 to 35,white,male,27,1,1
2010000416294,1,20 to 35,white,male,25,1,1
2010000435058,1,20 to 35,white,male,27,1,1
2010000458541,1,20 to 35,white,male,20,1,1
2010000476765,1,20 to 35,white,male,27,1,1
2010000478778,1,20 to 35,white,male,23,1,1
2010000478778,1,20 to 35,white,male,20,1,1
2010000492060,1,20 to 35,white,male,20,1,1
2010000509272,1,20 to 35,white,male,24,1,1
2010000515792,1,20 to 35,white,male,32,1,1
2010000516478,1,20 to 35,white,male,20,1,1
2010000516940,1,20 to 35,white,male,35,1,1
2010000546342,1,20 to 35,white,male,31,1,1
2010000552001,1,20 to 35,white,male,27,1,1
2010000579015,1,20 to 35,white,male,21,1,1
2010000613164,1,20 to 35,white,male,34,1,1
2010000620962,1,20 to 35,white,male,32,1,1
2010000636217,1,20 to 35,white,male,29,1,1
2010000641736,1,20 to 35,white,male,35,1,1
2010000646101,1,20 to 35,white,male,23,1,1
2010000651204,1,20 to 35,white,male,21,1,1
2010000651982,1,20 to 35,white,male,28,1,1
2010000654150,1,20 to 35,white,male,28,1,1
2010000659875,1,20 to 35,white,male,23,1,1
2010000684158,1,20 to 35,white,male,20,1,1
2010000689530,1,20 to 35,white,male,20,1,1
2010000691994,1,20 to 35,white,male,27,1,1
2010000693241,1,20 to 35,white,male,31,1,1
2010000699143,1,20 to 35,white,male,21,1,1
2010000719779,1,20 to 35,white,male,31,1,1
2010000736469,1,20 to 35,white,male,28,1,1
2010000737221,1,20 to 35,white,male,32,1,1
2010000745011,1,20 to 35,white,male,32,1,1
2010000756688,1,20 to 35,white,male,28,1,1
2010000766854,1,20 to 35,white,male,29,1,1
2010000769991,1,20 to 35,white,male,25,1,1
2010000776089,1,20 to 35,white,male,28,1,1
2010000787039,1,20 to 35,white,male,23,1,1
2010000788249,1,20 to 35,white,male,22,1,1
2010000799155,1,20 to 35,white,male,22,1,1
2010000799463,1,20 to 35,white,male,27,1,1
2010000816358,1,20 to 35,white,male,24,1,1
2010000844888,1,20 to 35,white,male,21,1,1
2010000861768,1,20 to 35,white,male,32,1,1
2010000872022,1,20 to 35,white,male,33,1,1
2010000887917,1,20 to 35,white,male,27,1,1
2010000888948,1,20 to 35,white,male,22,1,1
2010000934768,1,20 to 35,white,male,23,1,1
2010000934768,1,20 to 35,white,male,20,1,1
2010000955599,1,20 to 35,white,male,28,1,1
2010000962723,1,20 to 35,white,male,21,1,1
2010000981159,1,20 to 35,white,male,25,1,1
2010000988664,1,20 to 35,white,male,22,1,1
2010001008662,1,20 to 35,white,male,31,1,1
2010001011807,1,20 to 35,white,male,20,1,1
2010001028411,1,20 to 35,white,male,20,1,1
2010001037451,1,20 to 35,white,male,32,1,1
2010001041275,1,20 to 35,white,male,31,1,1
2010001075561,1,20 to 35,white,male,27,1,1
2010001075561,1,20 to 35,white,male,22,1,1
